ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Total_Spending,Total_Purchases,Family_Size,Customer_Tenure_Days,Cluster,Customer_Segment
9736,1980,Graduation,Partner,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,34,96,6,4,552,0.0,Lower-Value Customers
4939,1946,Graduation,Partner,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,68,317,11,2,667,0.0,Lower-Value Customers
6565,1949,Master,Partner,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,65,1782,24,3,458,1.0,Higher-Value Customers
2278,1985,2n Cycle,Alone,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,29,133,6,2,603,0.0,Lower-Value Customers
9360,1982,Graduation,Partner,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,32,316,11,2,690,0.0,Lower-Value Customers
5376,1979,Graduation,Partner,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,35,1730,28,3,539,1.0,Higher-Value Customers
1993,1949,PhD,Partner,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,65,972,14,3,553,1.0,Higher-Value Customers
4047,1954,PhD,Partner,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,60,544,17,3,169,1.0,Higher-Value Customers
1409,1951,Graduation,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,63,444,13,3,468,0.0,Lower-Value Customers
7892,1969,Graduation,Alone,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,45,75,6,1,543,0.0,Lower-Value Customers
2404,1976,Graduation,Partner,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,38,257,10,4,398,0.0,Lower-Value Customers
5255,1986,Graduation,Alone,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,1,28,637,27,2,494,1.0,Higher-Value Customers
9422,1989,Graduation,Partner,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,25,131,7,3,394,0.0,Lower-Value Customers
1966,1965,PhD,Partner,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,49,1672,25,2,219,1.0,Higher-Value Customers
6864,1989,Master,Alone,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,25,30,6,1,38,0.0,Lower-Value Customers
3033,1963,Master,Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,51,318,10,2,414,0.0,Lower-Value Customers
5710,1970,Graduation,Partner,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,44,120,7,3,627,0.0,Lower-Value Customers
7373,1952,PhD,Alone,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,62,302,11,3,608,0.0,Lower-Value Customers
8755,1946,Master,Partner,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,68,1196,17,2,494,1.0,Higher-Value Customers
10738,1951,Master,Alone,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,63,65,5,3,304,0.0,Lower-Value Customers
4339,1970,PhD,Partner,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,44,913,23,3,180,1.0,Higher-Value Customers
10755,1976,2n Cycle,Partner,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,38,81,6,3,300,0.0,Lower-Value Customers
8595,1973,Graduation,Alone,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,41,67,5,2,138,0.0,Lower-Value Customers
2968,1943,PhD,Alone,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,71,902,22,1,513,1.0,Higher-Value Customers
8601,1980,Graduation,Partner,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,34,1395,19,3,426,1.0,Higher-Value Customers
503,1985,Master,Partner,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,29,53,5,3,474,0.0,Lower-Value Customers
8430,1957,Graduation,Partner,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,57,22,3,3,552,0.0,Lower-Value Customers
7281,1959,PhD,Alone,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,55,186,8,1,236,0.0,Lower-Value Customers
2139,1975,Master,Partner,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,39,31,5,3,270,0.0,Lower-Value Customers
1371,1976,Graduation,Alone,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,38,984,15,1,1,1.0,Higher-Value Customers
9909,1996,2n Cycle,Partner,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,18,122,7,2,597,0.0,Lower-Value Customers
7286,1968,Graduation,Partner,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,46,55,4,3,401,0.0,Lower-Value Customers
7244,1951,Graduation,Alone,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,63,124,7,4,179,0.0,Lower-Value Customers
6566,1954,PhD,Partner,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,60,1319,19,4,598,1.0,Higher-Value Customers
8614,1957,Graduation,Alone,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,57,507,16,2,48,1.0,Higher-Value Customers
4114,1964,Master,Partner,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,50,1693,28,2,687,1.0,Higher-Value Customers
1331,1977,Graduation,Alone,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,37,72,5,2,543,0.0,Lower-Value Customers
2225,1977,Graduation,Alone,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,37,1617,20,1,22,1.0,Higher-Value Customers
9381,1978,Graduation,Partner,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,36,606,16,4,382,1.0,Higher-Value Customers
6260,1955,Master,Partner,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,59,1957,26,2,587,1.0,Higher-Value Customers
10383,1966,Graduation,Alone,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,48,1093,20,1,453,1.0,Higher-Value Customers
7437,1988,Graduation,Alone,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,26,29,5,2,62,0.0,Lower-Value Customers
8557,1982,Graduation,Alone,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,32,46,5,2,377,0.0,Lower-Value Customers
8375,1968,PhD,Partner,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,46,518,16,3,118,1.0,Higher-Value Customers
6853,1982,Master,Alone,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,32,1438,20,1,360,1.0,Higher-Value Customers
3076,1975,Graduation,Partner,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,39,612,18,4,660,1.0,Higher-Value Customers
1012,1952,Graduation,Alone,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,62,884,20,2,496,1.0,Higher-Value Customers
6518,1951,PhD,Alone,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,63,606,18,2,383,1.0,Higher-Value Customers
4137,1948,Graduation,Partner,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,66,1076,15,2,205,1.0,Higher-Value Customers
8082,1971,Graduation,Partner,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,43,34,4,3,404,0.0,Lower-Value Customers
1386,1967,Graduation,Partner,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,47,11,3,4,49,0.0,Lower-Value Customers
9369,1979,2n Cycle,Alone,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,35,1274,31,2,102,1.0,Higher-Value Customers
4477,1958,Graduation,Partner,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,56,653,17,3,275,1.0,Higher-Value Customers
1357,1970,Graduation,Partner,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,44,1562,12,5,447,1.0,Higher-Value Customers
1402,1954,Master,Partner,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,60,1253,18,2,656,1.0,Higher-Value Customers
10629,1973,2n Cycle,Partner,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,1,41,109,6,3,653,0.0,Lower-Value Customers
6312,1959,Graduation,Partner,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,55,863,26,3,469,1.0,Higher-Value Customers
8132,1975,PhD,Partner,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,39,661,19,4,450,1.0,Higher-Value Customers
1050,1952,Graduation,Partner,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,62,65,7,2,60,0.0,Lower-Value Customers
5846,1977,Graduation,Alone,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,37,13,3,2,557,0.0,Lower-Value Customers
1859,1972,Master,Partner,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,42,1890,18,2,671,1.0,Higher-Value Customers
7503,1976,Graduation,Alone,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,38,2209,22,1,625,1.0,Higher-Value Customers
10401,1976,2n Cycle,Partner,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,38,18,3,2,298,0.0,Lower-Value Customers
1618,1965,Graduation,Partner,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,49,692,19,2,543,1.0,Higher-Value Customers
3332,1985,Graduation,Alone,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,29,165,8,2,669,0.0,Lower-Value Customers
2261,1969,Graduation,Partner,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,45,16,3,3,371,0.0,Lower-Value Customers
5346,1973,2n Cycle,Partner,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,41,79,6,3,361,0.0,Lower-Value Customers
4119,1963,Master,Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,51,318,10,2,414,0.0,Lower-Value Customers
535,1987,Graduation,Alone,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,27,778,26,1,124,1.0,Higher-Value Customers
5268,1960,Graduation,Partner,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,54,56,5,4,322,0.0,Lower-Value Customers
273,1970,Master,Partner,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,44,151,8,4,348,0.0,Lower-Value Customers
4452,1957,Graduation,Alone,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,57,372,13,2,32,0.0,Lower-Value Customers
8504,1973,Graduation,Partner,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,41,1366,18,2,48,1.0,Higher-Value Customers
771,1967,Graduation,Partner,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,47,194,9,3,159,0.0,Lower-Value Customers
8996,1957,PhD,Partner,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,57,603,17,5,587,1.0,Higher-Value Customers
9235,1957,Graduation,Alone,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,57,18,3,3,33,0.0,Lower-Value Customers
5798,1973,Master,Partner,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0,41,985,14,2,218,1.0,Higher-Value Customers
11178,1972,Master,Alone,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,42,32,4,2,98,0.0,Lower-Value Customers
2230,1970,PhD,Partner,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,44,43,7,3,36,0.0,Lower-Value Customers
7516,1983,Graduation,Partner,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,31,45,5,3,38,0.0,Lower-Value Customers
7247,1960,Graduation,Alone,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,54,606,17,2,584,1.0,Higher-Value Customers
11100,1972,Graduation,Alone,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,42,63,5,3,444,0.0,Lower-Value Customers
4646,1951,2n Cycle,Partner,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,63,978,24,2,210,1.0,Higher-Value Customers
3037,1983,PhD,Partner,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,31,410,14,2,374,0.0,Lower-Value Customers
1473,1960,2n Cycle,Alone,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,54,72,5,2,341,0.0,Lower-Value Customers
1016,1959,PhD,Alone,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,55,55,5,2,91,0.0,Lower-Value Customers
4518,1979,Graduation,Partner,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,35,1169,25,3,435,1.0,Higher-Value Customers
9370,1945,PhD,Partner,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,69,1120,15,2,408,1.0,Higher-Value Customers
8908,1959,Graduation,Partner,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,55,1097,19,2,52,1.0,Higher-Value Customers
8373,1979,Basic,Partner,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,35,29,4,3,201,0.0,Lower-Value Customers
7533,1964,Graduation,Partner,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,50,187,9,4,278,0.0,Lower-Value Customers
2683,1969,Graduation,Partner,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,45,910,22,4,512,1.0,Higher-Value Customers
3629,1978,Graduation,Alone,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,36,145,7,2,557,0.0,Lower-Value Customers
10991,1960,Master,Partner,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,54,850,13,2,569,1.0,Higher-Value Customers
5077,1979,Graduation,Partner,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,35,969,23,3,239,1.0,Higher-Value Customers
7431,1991,PhD,Alone,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,23,1820,16,1,596,1.0,Higher-Value Customers
3267,1963,Master,Partner,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,51,608,17,3,4,1.0,Higher-Value Customers
999,1991,Graduation,Alone,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,23,730,24,1,543,1.0,Higher-Value Customers
9215,1980,PhD,Partner,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,34,551,16,3,564,1.0,Higher-Value Customers
2286,1962,Graduation,Alone,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,52,114,6,3,292,0.0,Lower-Value Customers
1592,1970,Graduation,Partner,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,44,1724,15,2,156,1.0,Higher-Value Customers
367,1978,2n Cycle,Partner,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,36,577,15,3,495,1.0,Higher-Value Customers
5234,1967,2n Cycle,Partner,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,2,47,81,5,4,353,0.0,Lower-Value Customers
9862,1969,Graduation,Partner,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,1,45,33,5,3,227,0.0,Lower-Value Customers
9805,1953,Master,Partner,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,61,660,18,3,374,1.0,Higher-Value Customers
6205,1967,Master,Alone,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1,47,80,6,2,125,0.0,Lower-Value Customers
8442,1985,Master,Partner,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,2,29,30,4,4,298,0.0,Lower-Value Customers
7386,1976,Graduation,Alone,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,1,38,43,4,2,433,0.0,Lower-Value Customers
7215,1983,Graduation,Alone,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,31,1135,27,1,474,1.0,Higher-Value Customers
1491,1965,2n Cycle,Partner,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,49,559,14,2,496,1.0,Higher-Value Customers
11071,1984,Graduation,Alone,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,30,1923,15,1,434,1.0,Higher-Value Customers
3381,1953,Master,Partner,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,61,90,6,4,21,0.0,Lower-Value Customers
8268,1961,PhD,Partner,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,1,53,404,14,3,353,0.0,Lower-Value Customers
11051,1956,PhD,Partner,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,2,58,661,19,4,50,1.0,Higher-Value Customers
8026,1952,Graduation,Partner,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,1,62,463,14,3,272,1.0,Higher-Value Customers
433,1958,Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,2,56,632,18,3,476,1.0,Higher-Value Customers
9597,1969,Graduation,Partner,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,45,725,18,2,139,1.0,Higher-Value Customers
1295,1963,Graduation,Partner,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,1,51,725,18,3,322,1.0,Higher-Value Customers
5290,1964,PhD,Partner,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2,50,279,11,4,319,0.0,Lower-Value Customers
1685,1967,PhD,Partner,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,47,1482,22,2,469,1.0,Higher-Value Customers
5342,1976,Basic,Alone,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,38,29,4,2,690,0.0,Lower-Value Customers
9579,1959,PhD,Partner,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,3,55,106,6,5,357,0.0,Lower-Value Customers
7660,1973,PhD,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,2,41,49,4,3,41,0.0,Lower-Value Customers
1461,1965,PhD,Alone,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,2,49,38,5,3,336,0.0,Lower-Value Customers
821,1992,Master,Alone,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,22,2077,21,1,618,1.0,Higher-Value Customers
11084,1976,Master,Partner,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1,38,1053,15,3,227,1.0,Higher-Value Customers
